"date","rir","customer","providers"
"2023-10-11","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-12","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-13","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-14","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-15","apnic","AS9663","AS945"
"2023-10-15","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-16","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-16","apnic","AS9663","AS945"
"2023-10-16","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-17","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-17","apnic","AS9663","AS945"
"2023-10-17","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-18","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-18","apnic","AS9663","AS945"
"2023-10-18","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-19","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-19","apnic","AS9663","AS945"
"2023-10-19","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-20","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-20","apnic","AS9663","AS945"
"2023-10-20","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-21","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-21","apnic","AS9663","AS945"
"2023-10-21","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-22","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-22","apnic","AS9663","AS945"
"2023-10-22","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-23","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-23","apnic","AS9663","AS945"
"2023-10-23","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-24","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-24","apnic","AS9663","AS945"
"2023-10-24","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-24","ripencc","AS202076","AS207960"
"2023-10-24","ripencc","AS202359","AS33920 AS41495"
"2023-10-24","ripencc","AS205789","AS200242 AS207960"
"2023-10-24","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-10-24","ripencc","AS210561","AS207960"
"2023-10-24","ripencc","AS212245","AS200242 AS212068"
"2023-10-25","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-25","apnic","AS9663","AS945"
"2023-10-25","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-25","ripencc","AS202076","AS207960"
"2023-10-25","ripencc","AS202359","AS33920 AS41495"
"2023-10-25","ripencc","AS205789","AS200242 AS207960"
"2023-10-25","ripencc","AS207960","AS6939 AS20473 AS34854 AS34927 AS136620 AS202359 AS207968"
"2023-10-25","ripencc","AS210561","AS207960"
"2023-10-25","ripencc","AS212245","AS200242 AS212068"
"2023-10-26","arin","AS945","AS174 AS1299 AS6939 AS7922 AS32097 AS134823"
"2023-10-26","apnic","AS9663","AS945"
"2023-10-26","ripencc","AS15562","AS2914 AS8283 AS51088 AS206238"
"2023-10-26","ripencc","AS202076","AS207960"
"2023-10-26","ripencc","AS202359","AS33920 AS41495"
"2023-10-26","ripencc","AS205789","AS200242 AS207960"
